Categoria,Nombre_Producto,Descripcion,Precio_Mayorista,Tamano_Bulto,URL_Imagen,Precio_Minorista,Stock
Enlatados,Atun Desmenuzado al natural Bahia x 170 gr.,Atun Desmenuzado al natural Bahia x 170 gr.,1460.00,48,https://davelcor.com.ar/wp-content/uploads/Atun-Desmenuzado-al-natural-Bahia-x-170-gr-240x240.jpg,,100
Enlatados,Atun Desmenuzado en Aceite Bahia x 170 gr.,Atun Desmenuzado en Aceite Bahia x 170 gr.,1460.00,48,https://davelcor.com.ar/wp-content/uploads/Atun-Desmenuzado-en-Aceite-Bahia-x-170-gr-240x240.jpg,,100
Enlatados,Atun Lomito al natural Bahia x 170 gr.,Atun Lomito al natural Bahia x 170 gr.,2600.00,48,https://davelcor.com.ar/wp-content/uploads/Atun-Lomito-al-natural-Bahia-x-170-gr-240x240.jpg,,100
Legumbres / Cereales,Avena Instantanea Trofy  x 300 gr.,Avena Instantanea Trofy  x 300 gr.,880.00,10,https://davelcor.com.ar/wp-content/uploads/Avena-Instantanea-Trofy-x-300-gr-240x240.jpg,,100
Legumbres / Cereales,Avena Lista Menu Box – Con manzana y canela x 59 gr.,Avena Lista Menu Box – Con manzana y canela x 59 gr.,1630.00,6,https://davelcor.com.ar/wp-content/uploads/Avena-Lista-Menu-Box-Con-manzana-y-canela-x-59-gr-240x240.jpg,,100
Legumbres / Cereales,Avena Sytari Instantanea x 300 gr.,Avena Sytari Instantanea x 300 gr.,980.00,10,https://davelcor.com.ar/wp-content/uploads/Avena-Sytari-Instantanea-x-300-gr-240x240.jpg,,100
Reposteria y Postres,Azucar Impalpable Velez x 250 gr.,Azucar Impalpable Velez x 250 gr.,780.00,10,https://davelcor.com.ar/wp-content/uploads/2021/05/Azucar-Impalpable-Velez-x-250-gr-240x240.jpg,,100
Bebidas sin alcohol,Baggio Forza x 500 cc. – Blue Shot,Baggio Forza x 500 cc. – Blue Shot,1150.00,6,https://davelcor.com.ar/wp-content/uploads/Baggio-Forza-x-500-cc.-Blue-Shot-240x240.jpg,,100
Bebidas sin alcohol,Baggio Forza x 500 cc. – Frutos Rojos,Baggio Forza x 500 cc. – Frutos Rojos,1150.00,6,https://davelcor.com.ar/wp-content/uploads/Baggio-Forza-x-500-cc.-Frutos-Rojos-240x240.jpg,,100
Bebidas sin alcohol,Baggio Forza x 500 cc. – Manzana,Baggio Forza x 500 cc. – Manzana,1150.00,6,https://davelcor.com.ar/wp-content/uploads/Baggio-Forza-x-500-cc.-Manzana-240x240.jpg,,100
Accesorios de Limpieza,Balde 10lt DEA x 1 Unid.,Balde 10lt DEA x 1 Unid.,4500.00,12,https://davelcor.com.ar/wp-content/uploads/2021/05/Balde-10lt-DEA-x-1-Unid-240x240.jpg,,100
Para Ropa,Barra Quitamanchas Gigante x 75 gr.,Barra Quitamanchas Gigante x 75 gr.,1225.00,48,https://davelcor.com.ar/wp-content/uploads/Barra-Quitamanchas-Gigante-x-75-gr-240x240.jpg,,100
Golosinas,Barra Smack Bar rellena bañada x 35 gr.,Barra Smack Bar rellena bañada x 35 gr.,420.00,72,https://davelcor.com.ar/wp-content/uploads/Barra-Smack-Bar-rellena-banada-x-35-gr-240x240.jpg,,100
Aderezos y Condimentos Velez,Bicarbonato Velez x 50 gr.,Bicarbonato Velez x 50 gr.,462.17,10,https://davelcor.com.ar/wp-content/uploads/2021/05/Bicarbonato-Velez-x-50-gr-240x240.jpg,,100
Golosinas,Bocadito Nevares Relleno dulce de leche x 23 gr.,Bocadito Nevares Relleno dulce de leche x 23 gr.,190.00,90,https://davelcor.com.ar/wp-content/uploads/Bocadito-Nevares-Relleno-dulce-de-leche-x-23-gr-240x240.jpg,,100
Accesorios de Limpieza,Bolsas Compactadoras Polibol 80x100cm x 10 unid.,Bolsas Compactadoras Polibol 80x100cm x 10 unid.,1500.00,50,https://davelcor.com.ar/wp-content/uploads/Bolsas-Compactadoras-Polibol-80x100cm-x-10-unid-240x240.jpg,,100
Accesorios de Limpieza,Bolsas de Residuos Green Plast 45×60 x 30 Unid.,Bolsas de Residuos Green Plast 45×60 x 30 Unid.,950.00,30,https://davelcor.com.ar/wp-content/uploads/Bolsas-de-Residuos-45x60-x-30-Unid-1-240x240.jpg,,100
Bazar y Hogar,Bombillas Cimarron x 1 Unid. – Plateada,Bombillas Cimarron x 1 Unid. – Plateada,650.00,96,https://davelcor.com.ar/wp-content/uploads/Bombillas-El-chucaro-x-1-Unid.-Plateada-240x240.jpg,,100
Golosinas,Bombon Bonobon x 30 Unid. – Blanco,Bombon Bonobon x 30 Unid. – Blanco,12485.00,12,https://davelcor.com.ar/wp-content/uploads/Bombon-Bonobon-x-30-Unid.-Blanco-240x240.jpg,,100
Golosinas,Bombon Bonobon x 30 Unid. – Negro,Bombon Bonobon x 30 Unid. – Negro,12485.00,12,https://davelcor.com.ar/wp-content/uploads/2021/07/Bombon-Bonobon-x-30-Unid-240x240.jpg,,100
Golosinas,Bombon Ducrem x 400 gr.,Bombon Ducrem x 400 gr.,5800.00,12,https://davelcor.com.ar/wp-content/uploads/Bombon-Ducrem-x-400-gr-240x240.jpg,,100
Golosinas,Bombon Smack x 30 Unid.,Bombon Smack x 30 Unid.,6500.00,6,https://davelcor.com.ar/wp-content/uploads/2021/05/Bombon-Smack-x-30-Unid-copia-240x240.jpg,,100
Golosinas,Bombon Smack x 6 Unid.,Bombon Smack x 6 Unid.,1190.00,18,https://davelcor.com.ar/wp-content/uploads/Bombon-Smack-x-6-Unid-240x240.jpg,,100
Librería y Cotillon,Bombuchas Dilax x 100 unid,Bombuchas Dilax x 100 unid,1250.00,300,https://davelcor.com.ar/wp-content/uploads/Bombucha-Dilax-x-100-unid-240x240.jpg,,100
